,Spine_Distances,Spine1_Distances,Spine2_Distances,Spine3_Distances,LeftShoulder_Distances,LeftArm_Distances,LeftForeArm_Distances,LeftHand_Distances,RightShoulder_Distances,RightArm_Distances,RightForeArm_Distances,RightHand_Distances,Neck_Distances,Neck1_Distances,Head_Distances
0,0.06987144809563725,0.0897287316811623,0.08919999807881261,0.1006097617477288,0.13154230830066943,0.13137856278820503,0.13479612665447088,0.1757158663202047,0.17583186516035754,0.1818383783323476,0.19310377594935532,0.1944890485110069,0.1991238396409283,0.23754111643270992,0.2574131433268931
1,0.06437080708731364,0.12337973973143782,0.12380699342737986,0.1303984487582191,0.19250187405900274,0.19283710100664916,0.19773824618736824,0.25935791533809344,0.25953037611118984,0.26695256137657114,0.306669456332831,0.3076022268611059,0.31147995904096215,0.3652562156078195,0.3853971072486037
2,0.030625033315827895,0.097288593896054,0.09806267780704268,0.10372682600581896,0.18022939453704512,0.18078077415111315,0.1852814115806894,0.2684498235285174,0.2686907859328152,0.2724889638568355,0.29926125068908954,0.2996777095304481,0.3008186456795594,0.3735394847312533,0.40327574014849926
3,0.07747607914390998,0.07899058686551619,0.08174847120855626,0.06099514320719064,0.13477782089998272,0.13705311550888638,0.13719063016890384,0.22765098393688654,0.22893321989990165,0.2386465037191669,0.29980902654328917,0.30621033773731654,0.31629577004770976,0.38139056872566046,0.41226072823134574
4,0.07111888646196306,0.10349294845322538,0.1000946601940835,0.1047812240897227,0.15928257030049656,0.15658609643302596,0.16690167367428993,0.22783911553138117,0.22630418411112355,0.24752522467329477,0.2722328759888066,0.2680181149316739,0.28966127768274846,0.34295315068683546,0.3954944186124345
5,0.08713388923902445,0.10343525766564189,0.10719718708450382,0.13482489110905058,0.17342093334140857,0.17700919445704325,0.20263845545282416,0.25852862250687875,0.2610220517622569,0.2923791486986381,0.3228012310201373,0.3345321821579793,0.3622830032672552,0.4024214259161539,0.3905156849958391
6,0.06845191817823477,0.0638378660677641,0.06476488549188064,0.039140732986540305,0.04259873104428223,0.04470989687133356,0.03253326359577094,0.03996347554605088,0.04202309584333927,0.046076049860159514,0.047684592738529846,0.055544036766989,0.06269732358371895,0.07352734962039867,0.061218458118962024
7,0.09227952180721648,0.0912638975081248,0.0890844081788671,0.09973078412633034,0.09996033287356307,0.09700512797577976,0.11089939001465941,0.11388787602025363,0.1119605506508276,0.12467778708155557,0.12608517038971548,0.11965614811335844,0.1296820514407435,0.13411802583215413,0.150667804252474
8,0.08810542563997029,0.10967862756791211,0.11152440315929248,0.11105152270069896,0.12469259016767771,0.1269081142440902,0.1340000808261653,0.14916338469944762,0.15096114082134435,0.16521605267481823,0.16275845263010785,0.17178078110238362,0.18519916364971603,0.18807887152693528,0.1848371488893626
9,0.0576943275988779,0.057744119151885966,0.05777235864027224,0.05796355139571239,0.05817482279038167,0.05778775784016205,0.0586918892767835,0.058515209450733255,0.05752035319946593,0.0603911497084773,0.06245037133197519,0.053440577923875944,0.06062311239275135,0.06037727280904742,0.03953620947204076
