,StudySeq,min_RMS_Energy,max_RMS_Energy,mean_RMS_Energy
0,StudySeq1,0.0005853792536072433,0.08360522985458374,0.032337188720703125
1,StudySeq2,0.0022351155057549477,0.13371026515960693,0.03483846038579941
2,StudySeq3,0.001007676706649363,0.09138520061969757,0.022386064752936363
3,StudySeq4,0.0005668008234351873,0.0863930881023407,0.02745981700718403
4,StudySeq5,0.0005961722927168012,0.1085304319858551,0.021340319886803627
5,StudySeq6,0.0007048829575069249,0.0436885692179203,0.016703849658370018
6,StudySeq7,0.0007033434230834246,0.0931951105594635,0.02523649111390114
7,StudySeq8,0.0006730784079991281,0.07711285352706909,0.02820505015552044
8,StudySeq9,0.0006103958585299551,0.05630510300397873,0.017643937841057777
9,StudySeq10,0.0008401138475164771,0.06040719896554947,0.021949199959635735
10,StudySeq11,0.0005523421568796039,0.0736808329820633,0.02535414509475231
11,StudySeq12,0.0005764254601672292,0.055908072739839554,0.017185434699058533
12,StudySeq13,0.0013797166757285595,0.08848749846220016,0.022336985915899277
13,StudySeq14,0.001021095784381032,0.10762753337621689,0.020593225955963135
14,StudySeq15,0.002561616012826562,0.10282561928033829,0.02836884930729866
15,StudySeq16,0.0007029640837572515,0.06030602380633354,0.015627680346369743
16,StudySeq17,0.0011859318474307656,0.07437992841005325,0.01582449860870838
17,StudySeq18,0.0006631092983298004,0.11847060918807983,0.013572629541158676
18,StudySeq19,0.0003962384944316,0.055062055587768555,0.012672413140535355
19,StudySeq20,0.00032992466003634036,0.05642233043909073,0.01322552002966404
20,StudySeq21,0.0008021171088330448,0.10810733586549759,0.03115520440042019
21,StudySeq22,0.003000996308401227,0.07537226378917694,0.027651367709040642
22,StudySeq23,0.0007655317313037813,0.05194102227687836,0.01764565333724022
23,StudySeq24,0.0005523402360267937,0.14469750225543976,0.03022066317498684
24,StudySeq25,0.0005079428083263338,0.08949592709541321,0.02124190703034401
25,StudySeq26,0.0006639813655056059,0.05387655273079872,0.01773892156779766
26,StudySeq27,0.0005702550406567752,0.07180504500865936,0.014749274589121342
27,StudySeq28,0.0006379994447343051,0.060920123010873795,0.017878226935863495
28,StudySeq29,0.00035037746420130134,0.07917562127113342,0.016076818108558655
29,StudySeq30,0.00045227917144075036,0.06528609246015549,0.02132982760667801
30,StudySeq31,0.000541574030648917,0.05890367552638054,0.020441679283976555
31,StudySeq32,0.0005415985942818224,0.08167155086994171,0.026638180017471313
32,StudySeq33,0.001268794876523316,0.09259454905986786,0.025955967605113983
33,StudySeq34,0.00035581234260462224,0.08850178867578506,0.011758855544030666
34,StudySeq35,0.0009356834925711155,0.07396287471055984,0.020007437095046043
35,StudySeq36,0.0008302329806610942,0.06191403046250343,0.01603657566010952
36,StudySeq37,0.0005332993459887803,0.04437226057052612,0.011972460895776749
37,StudySeq38,0.0004099445359315723,0.05125069618225098,0.013634824194014072
38,StudySeq39,0.00039236724842339754,0.06748690456151962,0.015124423429369926
39,StudySeq40,0.0007660978590138257,0.05930254980921745,0.01641595922410488
