Unnamed: 0,Mean_Appropriateness_Score
Cond_BA/StudySeq1,38.05714285714286
Cond_BA/StudySeq2,40.52941176470588
Cond_BA/StudySeq3,32.542857142857144
Cond_BA/StudySeq4,42.27272727272727
Cond_BA/StudySeq5,46.849999999999994
Cond_BA/StudySeq6,46.34285714285714
Cond_BA/StudySeq7,56.8235294117647
Cond_BA/StudySeq8,40.34285714285715
Cond_BA/StudySeq9,48.93333333333332
Cond_BA/StudySeq10,43.529411764705884
Cond_BA/StudySeq11,46.73684210526315
Cond_BA/StudySeq12,39.5
Cond_BA/StudySeq13,43.48484848484849
Cond_BA/StudySeq14,43.882352941176464
Cond_BA/StudySeq15,34.911764705882355
Cond_BA/StudySeq16,47.78787878787878
Cond_BA/StudySeq17,32.4054054054054
Cond_BA/StudySeq18,42.973684210526315
Cond_BA/StudySeq19,53.05882352941176
Cond_BA/StudySeq20,44.43589743589743
Cond_N/StudySeq1,77.65
Cond_N/StudySeq2,82.30952380952381
Cond_N/StudySeq3,84.58536585365854
Cond_N/StudySeq4,62.5609756097561
Cond_N/StudySeq5,72.61904761904762
Cond_N/StudySeq6,67.3953488372093
Cond_N/StudySeq7,54.325
Cond_N/StudySeq8,63.0
Cond_N/StudySeq9,79.26829268292684
Cond_N/StudySeq10,75.34146341463415
Cond_N/StudySeq11,83.16666666666666
Cond_N/StudySeq12,75.05
Cond_N/StudySeq13,85.58536585365854
Cond_N/StudySeq14,61.574999999999996
Cond_N/StudySeq15,82.16666666666666
Cond_N/StudySeq16,72.39024390243902
Cond_N/StudySeq17,80.175
Cond_N/StudySeq18,88.23255813953489
Cond_N/StudySeq19,79.92500000000001
Cond_N/StudySeq20,65.95348837209303
Cond_SC/StudySeq1,51.08571428571429
Cond_SC/StudySeq2,33.270270270270274
Cond_SC/StudySeq3,43.74285714285715
Cond_SC/StudySeq4,49.5
Cond_SC/StudySeq5,50.32432432432432
Cond_SC/StudySeq6,57.025
Cond_SC/StudySeq7,50.166666666666664
Cond_SC/StudySeq8,53.73529411764706
Cond_SC/StudySeq9,62.676470588235304
Cond_SC/StudySeq10,49.76470588235294
Cond_SC/StudySeq11,59.166666666666664
Cond_SC/StudySeq12,52.03125
Cond_SC/StudySeq13,60.78378378378378
Cond_SC/StudySeq14,44.82857142857143
Cond_SC/StudySeq15,50.432432432432435
Cond_SC/StudySeq16,62.19444444444444
Cond_SC/StudySeq17,45.971428571428575
Cond_SC/StudySeq18,46.69444444444444
Cond_SC/StudySeq19,63.85714285714286
Cond_SC/StudySeq20,49.29729729729729
